File,Variable,Min,Max
00385270_00000001_1.dvntuple.root,,,
,B0_MCORR,1662.0965124135032,17341.695366524433
,B0_PT,2027.1199073003218,35895.066068509994
,B0_ENDVERTEX_CHI2,0.3007197926044464,99.73297430419925
,B0_IPCHI2_OWNPV,0.03570047046366711,29537.064240500094
,Kplus_ProbNNk,0.20112401247024536,0.9995112419128418
,piminus_ProbNNk,2.933026799291838e-05,0.771743525028271
,Kplus_ProbNNmu,-1000.0,0.8625356931686423
,Kplus_ProbNNe,8.112016534056468e-10,0.9996778616905213
,muplus_ProbNNe,3.9128819656619746e-11,0.9917638139724765
,muminus_ProbNNe,3.5640201428988065e-11,0.995296214103699
,Kplus_ProbNNp,1.0478771277121268e-05,0.9858732395172127
,muplus_ProbNNp,4.041070138782743e-08,0.8660231828689575
,muminus_ProbNNp,1.357794589011974e-07,0.9670151333808911
,Kplus_ProbNNpi,0.00013693132717162372,0.8882330727577218
,muplus_ProbNNpi,5.6610858737258245e-05,0.9782320232391366
,muminus_ProbNNpi,6.960884662112224e-05,0.9815466146469118
,Kplus_isMuon,False,True
,piminus_isMuon,0.0,1.0
